position,solo_tackle,assist_tackle,sack,safety,interception,def_touchdown,fumble_forced,games_played_season,dpoy,allpro
3,6,2,4,0,0,0,0,4,0,0
3,27,5,13,0,2,0,0,7,0,0
5,13,4,4,0,0,0,0,0,0,0
11,7,5,0,0,0,0,0,17,0,0
8,2,0,0,0,0,0,0,6,0,0
11,12,8,0,0,0,0,0,6,0,0
1,13,4,0,0,0,0,0,12,0,0
3,14,5,3,0,0,0,0,6,0,0
3,22,11,11,0,0,0,0,0,0,0
10,15,23,4,0,0,0,0,14,0,0
3,7,6,0,0,0,0,0,0,0,0
7,41,17,3,0,0,0,0,8,0,0
4,2,1,0,0,0,0,0,0,0,0
12,67,26,0,0,4,0,3,10,0,0
4,13,8,4,0,0,0,4,0,0,0
1,52,8,0,0,2,0,1,0,0,0
5,62,22,0,0,16,0,4,16,0,0
9,2,0,0,0,0,0,0,2,0,0
9,4,0,0,0,0,0,0,8,0,0
4,15,13,7,0,1,1,2,2,0,0
4,56,20,36,0,0,0,2,8,0,1
4,45,10,19,0,1,0,4,6,0,0
12,79,17,0,0,2,0,0,6,0,0
1,47,11,0,0,7,0,2,5,0,0
4,44,13,13,0,0,0,2,10,0,0
3,44,15,22,0,0,0,7,1,0,0
12,44,23,0,0,6,2,2,0,0,1
3,54,41,27,0,2,2,2,8,0,0
8,57,36,28,0,2,1,3,2,0,0
11,79,31,11,0,2,0,2,0,0,0
12,54,6,0,0,8,2,0,0,0,0
4,34,14,0,0,1,0,0,1,0,0
3,43,18,24,0,0,0,2,8,0,0
1,45,7,0,0,2,0,3,11,0,0
3,41,11,16,0,0,0,0,0,0,0
1,58,13,4,0,6,2,2,8,0,0
11,57,19,15,0,0,0,2,6,0,0
11,2,0,0,0,0,0,0,4,0,0
4,34,40,15,0,1,0,2,11,0,0
7,137,34,34,0,2,0,6,5,0,1
5,11,6,0,0,0,0,0,15,0,0
11,35,6,20,0,0,0,0,2,0,0
8,20,9,0,0,0,0,2,0,0,0
9,91,65,7,0,3,0,2,0,0,0
7,34,32,4,0,0,0,5,9,0,0
1,11,1,0,0,0,0,0,7,0,0
3,2,0,0,0,0,0,0,3,0,0
3,117,17,70,0,2,2,19,0,0,1
4,34,25,25,0,0,0,0,11,0,0
1,62,5,0,0,14,0,0,4,0,0
3,104,25,77,2,3,0,13,0,0,0
4,152,20,82,0,5,1,12,0,1,1
4,53,9,21,0,0,0,5,11,0,0
3,56,9,42,0,0,0,5,14,0,0
3,65,19,32,0,4,3,7,0,0,0
4,51,25,27,0,0,0,2,2,0,0
1,46,10,0,0,2,0,0,3,0,0
3,2,1,0,0,0,0,0,1,0,0
4,16,2,4,0,0,0,0,13,0,0
4,63,28,29,0,0,0,12,3,0,0
1,25,7,0,0,0,0,0,0,0,0
3,53,34,17,0,0,0,9,12,0,1
4,15,11,7,0,0,0,0,3,0,0
1,6,2,0,0,0,0,0,9,0,0
13,19,13,0,0,0,0,0,1,0,0
3,59,21,28,0,0,0,2,7,0,0
8,80,49,24,0,3,1,2,1,0,0
8,59,21,0,0,0,0,0,3,0,0
3,13,16,0,0,1,0,0,0,0,0
8,29,10,10,0,0,0,4,0,0,0
5,66,13,4,0,2,0,0,0,0,0
12,45,18,4,0,0,0,0,8,0,0
4,21,5,12,0,1,0,0,5,0,0
